,,S1,F1,S2,F2,S3,F3,S4,F4
Glacier 4,$z$,0.011,0.006,0.008,0.009,0.018,$<$0.001,0.008,0.003
,$d_C$,$<$0.001,-0.002,$<$0.001,-0.002,-0.001,-0.001,-0.001,$<$0.001
,$\aspect$,-0.021,-0.006,-0.024,-0.013,-0.016,-0.002,-0.008,-0.010
,$m$,-0.002,-0.004,-0.002,-0.005,-0.013,-0.002,-0.004,-0.003
,$N$,-0.002,-0.002,-0.002,-0.002,-0.004,-0.001,-0.001,-0.002
,$\kappa$,0.009,0.021,0.012,0.018,0.009,0.028,0.016,0.015
,Sx,-0.059,-0.046,-0.055,-0.053,-0.057,-0.051,-0.045,-0.042
,Intercept,0.617,0.567,0.626,0.631,0.621,0.642,0.618,0.633
,RMSE,0.144,0.134,0.146,0.149,0.146,0.148,0.144,0.147
Glacier 2,$z$,0.119,0.109,0.114,0.099,0.102,0.120,0.109,0.109
,$d_C$,0.009,0.021,0.008,0.003,0.007,0.002,0.011,0.001
,$\aspect$,-0.011,-0.007,-0.019,-0.009,-0.013,-0.003,-0.011,-0.005
,$m$,0.030,0.024,0.023,0.023,0.025,0.029,0.022,0.029
,$N$,0.012,0.008,0.022,0.009,0.012,0.003,0.011,0.008
,$\kappa$,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001
,Sx,0.040,0.036,0.040,0.031,0.035,0.027,0.040,0.037
,Intercept,0.287,0.263,0.275,0.235,0.273,0.240,0.282,0.238
,RMSE,0.096,0.089,0.093,0.081,0.093,0.082,0.096,0.084
Glacier 13,$z$,0.058,0.052,0.055,0.052,0.045,0.058,0.054,0.055
,$d_C$,$<$0.001,$<$0.001,0.001,0.001,0.001,$<$0.001,$<$0.001,$<$0.001
,$\aspect$,$<$0.001,$<$0.001,$<$0.001,-0.002,$<$0.001,$<$0.001,$<$0.001,$<$0.001
,$m$,0.001,$<$0.001,$<$0.001,0.001,0.001,0.001,$<$0.001,$<$0.001
,$N$,0.002,$<$0.001,$<$0.001,0.001,0.001,$<$0.001,$<$0.001,$<$0.001
,$\kappa$,-0.024,-0.020,-0.021,-0.019,-0.023,-0.018,-0.021,-0.020
,Sx,0.001,0.002,0.001,0.007,0.004,0.008,0.001,0.001
,Intercept,0.236,0.220,0.241,0.217,0.250,0.208,0.246,0.211
,RMSE,0.078,0.073,0.080,0.072,0.084,0.068,0.081,0.071
